image_name,labels,is_valid
valid/0218492313483293-1.jpg,Medical,TRUE
train/0218492314522471-2.jpg,Photo_Medical,FALSE
train/0271678X16650697-08.jpg,Medical,FALSE
train/0284185117723370-4.jpg,Medical,FALSE
train/0301006616643655-2.jpg,Photo,FALSE
train/0748233712457453-2.jpg,Photo,FALSE
train/0883073817696817-02.jpg,Medical,FALSE
train/0883073817696817-03.jpg,Medical,FALSE
train/0885328215617058-06.jpg,Photo,FALSE
train/096368913X673469-03.jpg,Photo_MicroPhoto,FALSE
train/10.1001+jama.2014.3610-1.jpg,Photo,FALSE
train/10.1002+2211-5463.12813-04.jpg,MicroPhoto,FALSE
train/10.1002+2211-5463.12813-07.jpg,Other,FALSE
train/10.1002+2211-5463.12822-06.jpg,MicroPhoto,FALSE
train/10.1002+2211-5463.12822-08.jpg,MicroPhoto,FALSE
train/10.1002+2211-5463.12822-09.jpg,MicroPhoto,FALSE
train/10.1002+2211-5463.12822-10.jpg,MicroPhoto,FALSE
train/10.1002+2211-5463.12822-11.jpg,Blot,FALSE
train/10.1002+2211-5463.12822-12.jpg,Blot_MicroPhoto,FALSE
train/10.1002+2211-5463.12867-05.jpg,Other,FALSE
train/10.1002+2211-5463.12867-07.jpg,Other,FALSE
train/10.1002+2211-5463.12867-08.jpg,MicroPhoto,FALSE
train/10.1002+2211-5463.12867-09.jpg,MicroPhoto,FALSE
train/10.1002+2211-5463.12995-08.jpg,MicroPhoto,FALSE
train/10.1002+2211-5463.13011-26.jpg,Blot,FALSE
train/10.1002+2211-5463.13011-27.jpg,Blot,FALSE
train/10.1002+2211-5463.13011-28.jpg,Blot,FALSE
train/10.1002+2211-5463.13011-30.jpg,Other,FALSE
train/10.1002+advs.201801531-04.jpg,MicroPhoto_EM,FALSE
train/10.1002+advs.201801531-05.jpg,MicroPhoto_EM,FALSE
train/10.1002+advs.201801684-2.jpg,EM,FALSE
train/10.1002+advs.201801684-3.jpg,EM,FALSE
train/10.1002+advs.201801899-02.jpg,Blot_MicroPhoto_EM,FALSE
train/10.1002+advs.201801899-03.jpg,Photo_MicroPhoto,FALSE
train/10.1002+advs.201801899-05.jpg,EM,FALSE
train/10.1002+advs.201801899-08.jpg,Photo_MicroPhoto,FALSE
train/10.1002+advs.201900597-05.jpg,Photo,FALSE
train/10.1002+advs.201900597-06.jpg,EM,FALSE
valid/10.1002+advs.201900599-03.jpg,EM,TRUE
train/10.1002+advs.201900644-2.jpg,Photo_MicroPhoto,FALSE
train/10.1002+advs.201901293-04.jpg,Blot_MicroPhoto_EM,FALSE
valid/10.1002+advs.201901293-05.jpg,MicroPhoto,TRUE
train/10.1002+advs.201901293-07.jpg,MicroPhoto,FALSE
train/10.1002+advs.201901293-08.jpg,MicroPhoto,FALSE
train/10.1002+advs.201901293-09.jpg,Other,FALSE
train/10.1002+advs.201901293-12.jpg,Photo_MicroPhoto,FALSE
train/10.1002+advs.201901408-03.jpg,EM,FALSE
train/10.1002+advs.201901408-05.jpg,EM,FALSE
train/10.1002+advs.201901408-06.jpg,EM,FALSE
train/10.1002+advs.201901690-03.jpg,EM,FALSE
train/10.1002+advs.201901690-04.jpg,Blot_MicroPhoto_EM,FALSE
valid/10.1002+advs.201901690-06.jpg,Photo,TRUE
train/10.1002+advs.201901690-08.jpg,Photo,FALSE
train/10.1002+advs.201902099-04.jpg,Photo_EM,FALSE
train/10.1002+advs.201902099-05.jpg,Photo_MicroPhoto,FALSE
